# Citry v1 beta Stage 0 change ledger
# Baseline: B0-20260723T132129Z-53aec721
# Snapshot command: git -c core.quotepath=false status --porcelain=v1 --untracked-files=all
# provisional_path_class is derived from path/status only and must be verified in later stages.
status	path	tracked_state	size_bytes	provisional_path_class	ownership_state	baseline
 M	packages/py/citry/citry/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/__main__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/assets.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/attrs.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/autodiscovery.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/cache.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/citry.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/citry_context.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/citry_element.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/citry_render.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/command.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/commands/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/commands/list.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/component.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/component_registry.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/component_render.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/components/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/components/dynamic.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/components/error_fallback.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/components/js_css.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/components/provide.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/constants.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/constness.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/contrib/asgi.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/contrib/caches.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/contrib/django.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/client/citry.js	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/emission.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/extension.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/routes.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/scripts.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/ext/dependencies/types.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/extension.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/nodes/__init__.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/reload.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/serialize.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/settings.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/slots.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/tag_rules.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/util/id.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/util/misc.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/citry/util/routing.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/pyproject.toml	tracked_changed		manifest_or_lock	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/conftest.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/e2e/test_document_e2e.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/e2e/test_fragment_e2e.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_assets.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_attrs.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_autodiscovery.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_cache.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_citry.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_class_id.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_cli.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_component.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_component_dynamic.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_component_id.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_component_node.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_component_registry.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_const.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_contrib_django.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_contrib_fastapi.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_contrib_hosts.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_contrib_request.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_control_flow.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deferred_render.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deps_emission.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deps_fragments.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deps_types.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deps_urls.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_deps_vars.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 D	packages/py/citry/tests/test_element_attrs.py	tracked_deleted		deletion	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_error_fallback.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_error_trace.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 D	packages/py/citry/tests/test_ext_dependencies.py	tracked_deleted		deletion	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_extension.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_id_generator.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_nodes.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_on_render.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_provide.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_pydantic.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_reload.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_render.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_slot_fills.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_slot_node.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_slots.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_tag_rules.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry/tests/test_template_globals.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry_core/citry_core/_rust.pyi	tracked_changed		unclassified	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry_core/tests/test_safe_eval.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/citry_core/tests/test_template_parser.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/pygments_citry/pygments_citry/citry_html.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	packages/py/pygments_citry/tests/test_citry_html.py	tracked_changed		test_or_fixture	unassigned	B0-20260723T132129Z-53aec721
 M	pyproject.toml	tracked_changed		manifest_or_lock	unassigned	B0-20260723T132129Z-53aec721
 M	scripts/check.py	tracked_changed		source_or_config	unassigned	B0-20260723T132129Z-53aec721
 M	uv.lock	tracked_changed		manifest_or_lock	unassigned	B0-20260723T132129Z-53aec721
??	.github/lighthouserc.json	untracked	651	workflow_or_repository_config	unassigned	B0-20260723T132129Z-53aec721
??	.github/workflows/repo--docs-external-links.yml	untracked	3775	workflow_or_repository_config	unassigned	B0-20260723T132129Z-53aec721
??	.github/workflows/repo--docs-lighthouse.yml	untracked	5369	workflow_or_repository_config	unassigned	B0-20260723T132129Z-53aec721
??	.github/workflows/repo--docs-people.yml	untracked	2068	workflow_or_repository_config	unassigned	B0-20260723T132129Z-53aec721
??	.github/workflows/repo--docs-release.yml	untracked	6507	workflow_or_repository_config	unassigned	B0-20260723T132129Z-53aec721
??	TODO/TODO.md	untracked	2840	documentation	unassigned	B0-20260723T132129Z-53aec721
??	TODO/old_djccore_ddos.png	untracked	390243	binary_or_reference	unassigned	B0-20260723T132129Z-53aec721
